,Names,DGCD-129,RDGF,gdda,gddg,GroundTruth
0,#1MTrajeados,3,0,2,2,1
1,#AMLOLujoDePresidente,3,3,2,2,3
2,#ARMY,1,2,1,0,1
3,#AntorchaAyudaATabasco,0,0,2,2,3
4,#AvisoCovidEdomex,2,2,3,0,0
5,#BuenFinSeguro,2,2,3,0,0
6,#ByeByeTrump,0,0,2,0,3
7,#Confetti,3,0,2,2,1
8,#CovidDerrotaAPuebla,3,0,2,2,0
9,#CuidemosTodosDeTodos,2,2,3,0,3
10,#DiaInternacionalDelHombre,3,0,2,0,0
11,#Elecciones2020,1,1,1,0,3
12,#Fakeministas,0,0,2,2,0
13,#FelizLunes,3,3,2,0,0
14,#FelizMartes,0,1,1,0,1
15,#FelizMiercoles,0,3,2,0,1
16,#Fortnite,0,0,2,0,1
17,#GoPackGo,0,1,2,0,2
18,#HalaMadrid,0,1,1,0,2
19,#HappyAuronDay,3,0,2,2,1
20,#ImolaGP,0,0,2,0,2
21,#JusticeForJohnnyDepp,0,0,2,2,0
22,#JusticiaParaAlexis,0,0,2,2,3
23,#LaBrujaDelPalacio,3,3,2,2,3
24,#LordMontajes,3,3,2,2,1
25,#MasterChefMx,0,0,2,2,1
26,#MatriomonioIgualitarioPuebla,3,3,2,0,3
27,#NiallHoran,0,0,2,2,1
28,#OfrendaEdomex,2,2,3,0,0
29,#POSITIONS,1,1,1,3,1
30,#RatitaNoEstasSolo,0,0,2,2,3
31,#SalarioRosa2,2,2,0,1,3
32,#SerieMundial,0,1,2,2,2
33,#SiguesTuLopez,0,0,2,2,3
34,#SoloLasMujeresMenstruan,3,0,2,2,3
35,#TarjetaRosa,2,2,3,0,3
36,#Temblor,1,1,1,0,0
37,#TheMandalorian,0,0,2,0,1
38,#TrumpvsBiden,1,1,2,0,3
39,#UnPeligroParaMexico,3,3,2,2,3
40,#WonderAtMidnight,3,0,2,2,1
41,#XSXFridgeSweeps,2,2,3,0,1
42,#Xavi,0,0,2,2,2
43,#nosfaltajorge,1,1,1,3,3
44,Best Buy,1,1,1,0,0
45,Best Buy Liquidacion,1,1,1,3,0
46,Bloomberg,1,1,1,0,0
47,Bob Esponja,1,1,2,2,1
48,Brozo,1,1,1,0,3
49,Censura,1,1,2,2,3
50,Checo,1,1,1,3,2
51,Chile,1,0,2,2,3
52,Chivas,0,0,2,2,2
53,Coco,1,3,2,2,1
54,Cruz Azul,1,1,1,3,2
55,DiaDeMuertos,0,1,2,2,0
56,Dinamarca,0,0,2,2,0
57,Europa League,1,1,2,2,2
58,FONDEN,0,1,2,2,3
59,Greta,1,1,1,0,0
60,Halloween,1,1,2,0,0
61,HereWeGo,1,1,1,3,2
62,KAROL,3,3,2,2,1
63,Maluma,3,0,2,2,1
64,Manchester United,1,1,2,2,2
65,Pfizer,1,1,2,0,0
66,Pumas,0,0,2,2,2
67,Ravens,0,1,2,2,2
68,Rayados,0,0,2,2,2
69,SpotifyWrapped,1,1,1,0,1
70,SystemofaDown,1,1,1,3,1
71,Trump,1,1,1,3,3
72,Viena,1,1,1,3,0
73,Worlds2020,0,1,1,3,2
74,Yakult,1,1,1,2,1
