,0
#1MTrajeados,1
#AMLOLujoDePresidente,1
#ARMY,4
#AntorchaAyudaATabasco,0
#AvisoCovidEdomex,0
#BuenFinSeguro,0
#ByeByeTrump,0
#Confetti,0
#CovidDerrotaAPuebla,0
#CuidemosTodosDeTodos,0
#DiaInternacionalDelHombre,0
#Elecciones2020,0
#Fakeministas,1
#FelizLunes,2
#FelizMartes,4
#FelizMiercoles,1
#Fortnite,0
#GoPackGo,4
#HalaMadrid,4
#HappyAuronDay,0
#ImolaGP,0
#JusticeForJohnnyDepp,0
#JusticiaParaAlexis,0
#LaBrujaDelPalacio,3
#LordMontajes,2
#MasterChefMx,0
#MatriomonioIgualitarioPuebla,3
#NiallHoran,0
#OfrendaEdomex,0
#POSITIONS,0
#RatitaNoEstasSolo,1
#SalarioRosa2,0
#SerieMundial,0
#SiguesTuLopez,0
#SoloLasMujeresMenstruan,0
#TarjetaRosa,0
#Temblor,0
#TheMandalorian,0
#TrumpvsBiden,0
#UnPeligroParaMexico,3
#WonderAtMidnight,1
#XSXFridgeSweeps,0
#Xavi,0
#nosfaltajorge,0
Best_Buy,0
Best_Buy_Liquidacion,0
Bloomberg,0
Bob_Esponja,0
Brozo,0
Censura,0
Checo,0
Chile,0
Chivas,0
Coco,0
Cruz_Azul,0
DiaDeMuertos,0
Dinamarca,0
Europa_League,0
FONDEN,1
Greta,0
Halloween,0
HereWeGo,0
KAROL,0
Maluma,0
Manchester_United,0
Pfizer,0
Pumas,0
Ravens,0
Rayados,4
SpotifyWrapped,0
SystemofaDown,0
Trump,0
Viena,0
Worlds2020,0
Yakult,0
