Network,0,1,2,3,4
#1MTrajeados,0.8342554726966562,0.10728891027183064,0.008178975222516238,0.04161655039692086,0.008660091412076016
#AMLOLujoDePresidente,0.6972506393861893,0.1488171355498721,0.012627877237851663,0.12883631713554988,0.012468030690537084
#ARMY,0.9343244068832095,0.019448121372568985,0.011098666123612667,0.02403013949699623,0.011098666123612667
#AntorchaAyudaATabasco,0.6000928936367859,0.09986065954482118,0.007895959126799815,0.2851834649326521,0.006967022758941012
#AvisoCovidEdomex,0.8998911860718172,0.03329706202393906,0.026332970620239392,0.014145810663764961,0.026332970620239392
#BuenFinSeguro,0.8674091752850702,0.07186422699549191,0.02439671174754707,0.012463537523203394,0.02386634844868735
#ByeByeTrump,0.6261094965045951,0.14594297384337443,0.08106197470740711,0.06323148220878172,0.08365407273584165
#Confetti,0.8063921327596804,0.09690637164515468,0.009629174349518542,0.07744314689612784,0.009629174349518542
#CovidDerrotaAPuebla,0.8961325966850828,0.022651933701657457,0.0066298342541436465,0.06685082872928177,0.0077348066298342545
#CuidemosTodosDeTodos,0.939956206062003,0.022242710614267604,0.012100956551803618,0.01394491183588798,0.011755214936037801
#DiaInternacionalDelHombre,0.5464861256794126,0.2553637837322399,0.07895489653857156,0.03518642128349385,0.08400877276628206
#Elecciones2020,0.6512670565302144,0.17446393762183235,0.05380116959064327,0.06637426900584795,0.054093567251461985
#Fakeministas,0.881480188514575,0.05899807994414383,0.004014662244719846,0.05149240705184151,0.004014662244719846
#FelizLunes,0.404038904150271,0.4124285396094736,0.07320513772366175,0.03779048184720469,0.07253693666938897
#FelizMartes,0.9702168422886005,0.016981625010885657,0.0026125576939824086,0.007663502569015066,0.0025254724375163287
#FelizMiercoles,0.38330481362993823,0.4135108994866453,0.08176474964660367,0.038985194553976636,0.0824343426828361
#Fortnite,0.5811400608385134,0.1680994577436847,0.09747387911651897,0.06295463563020764,0.09033196667107525
#GoPackGo,0.8926137612662124,0.049131677291712465,0.013959111892723676,0.03110573752473071,0.013189712024620796
#HalaMadrid,0.8953343053530515,0.04415746719433451,0.02082899395959175,0.020204124140804,0.019475109352218287
#HappyAuronDay,0.7935030395136778,0.14000759878419453,0.007218844984802432,0.05148176291793313,0.0077887537993920975
#ImolaGP,0.8607921256151864,0.07077572064682447,0.016053433325521442,0.03655964377782986,0.01581907663463792
#JusticeForJohnnyDepp,0.8120261162594776,0.09182813816343724,0.014427127211457455,0.06718618365627632,0.014532434709351305
#JusticiaParaAlexis,0.7964078414193407,0.13284415726645493,0.008104260212463039,0.054101412769685685,0.008542328332055635
#LaBrujaDelPalacio,0.684393063583815,0.2327552986512524,0.008477842003853564,0.06685934489402698,0.007514450867052023
#LordMontajes,0.8323986744838134,0.06933469283711445,0.006117767015039511,0.08679581952587305,0.005353046138159572
#MasterChefMx,0.6142197125256673,0.2166324435318275,0.019250513347022588,0.13193018480492813,0.017967145790554414
#MatriomonioIgualitarioPuebla,0.7452506294346533,0.19890135042343784,0.011444266422522316,0.03318837262531472,0.01121538109407187
#NiallHoran,0.8227114716106605,0.07439165701042874,0.0030127462340672076,0.09687137891077637,0.0030127462340672076
#OfrendaEdomex,0.954416600521601,0.0072570586234266925,0.010545413312166912,0.01757568885361152,0.010205238689193786
#POSITIONS,0.6512315270935961,0.13464696223316913,0.06984126984126984,0.07334428024083196,0.07093596059113301
#RatitaNoEstasSolo,0.886565166471474,0.034967374937259495,0.0030115442529697173,0.07244437008532709,0.0030115442529697173
#SalarioRosa2,0.97783484254629,0.002838221381267739,0.004865522367887553,0.00946073793755913,0.0050006757669955396
#SerieMundial,0.8832727847101564,0.05915337229505607,0.013741904912336124,0.03001105670510188,0.01382088137734955
#SiguesTuLopez,0.7593423019431988,0.10082891697241474,0.01114281831770621,0.11699959233591521,0.01168637043076505
#SoloLasMujeresMenstruan,0.8380681818181818,0.08125,0.022443181818181817,0.03465909090909091,0.023579545454545454
#TarjetaRosa,0.9323730897593536,0.017916739855963464,0.011241875988055507,0.027577727033198666,0.010890567363428772
#Temblor,0.7913564929693961,0.10401157981803143,0.029363110008271298,0.045078577336641855,0.030190239867659223
#TheMandalorian,0.5869859199745446,0.15472118367671625,0.11120833664784027,0.03317158539495665,0.11391297430594224
#TrumpvsBiden,0.6265993265993266,0.1701178451178451,0.08594276094276095,0.031902356902356904,0.08543771043771044
#UnPeligroParaMexico,0.5943418844401822,0.3471589546871254,0.007432270438743707,0.0438743706545193,0.007192519779429393
#WonderAtMidnight,0.6787283535797364,0.0710777978805893,0.004652364952184027,0.24114758335487205,0.004393900232618248
#XSXFridgeSweeps,0.9294425087108014,0.0116973618715779,0.025510204081632654,0.010452961672473868,0.022896963663514187
#Xavi,0.6174463594794232,0.17228279985930356,0.07506155469574394,0.07245867041857193,0.06275061554695743
#nosfaltajorge,0.8823092783505154,0.06317525773195876,0.012783505154639175,0.027711340206185566,0.014020618556701031
Best_Buy,0.6394652988264553,0.12761327426750602,0.09201834149374369,0.05284837180383928,0.08805471360845574
Best_Buy_Liquidacion,0.42229580573951436,0.21714495952906548,0.16048565121412803,0.05003679175864607,0.15003679175864607
Bloomberg,0.8025009924573243,0.09117374619558026,0.03361122138414715,0.03850734418420008,0.03420669577874818
Bob_Esponja,0.6517933390264731,0.08230145175064048,0.12339880444064902,0.023697694278394535,0.11880871050384287
Brozo,0.8754472085864049,0.05374823196605375,0.0076545469673017725,0.05557866711040852,0.007571345369831101
Censura,0.7498147524418997,0.10447962276860896,0.04196699225328394,0.06372515998652745,0.040013472549680025
Checo,0.7486256871564217,0.0831726993646034,0.04861854786892268,0.07360605411579925,0.04597701149425287
Chile,0.3596257597486854,0.288260602335587,0.13781328962644268,0.08379430444581029,0.1305060438434747
Chivas,0.6830675262979301,0.14794706481167288,0.03155751611808619,0.10847189231987332,0.028956000452437507
Coco,0.19374518366298485,0.38960955561263805,0.21602876958643719,0.013742614949910095,0.1868738761880298
Cruz_Azul,0.5517268507591849,0.14090158130752892,0.10510581386200929,0.0981826764219967,0.10408307764928015
DiaDeMuertos,0.7176962503371999,0.16070946857297005,0.0458591853250607,0.029134070677097383,0.04660102508767197
Dinamarca,0.6672944721725209,0.15622940013183917,0.0427535549486769,0.09332328844523967,0.04039928430172333
Europa_League,0.6653865847414234,0.11130312339989759,0.08966973886328725,0.052803379416282645,0.08083717357910906
FONDEN,0.7973958333333333,0.1009375,0.0125,0.0765625,0.012604166666666666
Greta,0.8281859453929279,0.06758744165227956,0.036703114009847174,0.031204041179103522,0.036319457765841806
Halloween,0.23973220644793694,0.2507953088647263,0.2444328379469161,0.018517639238402734,0.24652200750201794
HereWeGo,0.6141328250989591,0.17094267702682892,0.06641254947954846,0.0845917020964668,0.06392024629819675
KAROL,0.1997163120567376,0.5114893617021277,0.13418439716312056,0.04397163120567376,0.11063829787234042
Maluma,0.7319931488325971,0.07671504552420445,0.07148652303254305,0.055079780041467595,0.06472550256918777
Manchester_United,0.7060528920944704,0.11964361476453118,0.06830717013152313,0.03832555508414651,0.0676707679253288
Pfizer,0.5965309617190521,0.1630668949897807,0.08070485554880406,0.07987626360271778,0.07982102413964537
Pumas,0.6009060511271708,0.17883723438679755,0.06558084349045411,0.09491964189407831,0.059756229101499296
Ravens,0.599839061961145,0.14875273019887345,0.09311415105184503,0.07253707322680768,0.0857569835613289
Rayados,0.8405761112490688,0.06804072510553762,0.014651105040973429,0.06257760119195431,0.014154457412465855
SpotifyWrapped,0.6220779220779221,0.15957792207792207,0.07142857142857142,0.07727272727272727,0.06964285714285715
SystemofaDown,0.7044632086851629,0.10301568154402894,0.08427824688379573,0.024607961399276235,0.08363490148773622
Trump,0.4237439094671766,0.23775344475297322,0.12034368942211977,0.10174464295069943,0.11641431340703097
Viena,0.7124702144559174,0.13884034948371723,0.044241461477362985,0.05972994440031771,0.04471803018268467
Worlds2020,0.8562819877827307,0.08609872874360244,0.01659237246161466,0.024021792966815256,0.017005118045236915
Yakult,0.7402659984579799,0.09117193523515806,0.06919814957594449,0.04047802621434079,0.058885890516576715
